Ref,Val,Package,PosX,PosY,Rot,Side
"U4","74HC597","SO-16-N",155.821380,-59.364880,0.000000,top
"U5","74HC597","SO-16-N",154.360880,-85.209380,0.000000,top
"U6","74HC597","SO-16-N",135.828380,-58.525380,0.000000,top
"U7","74HC597","SO-16-N",135.279880,-84.604380,0.000000,top
"U8","74HC597","SO-16-N",135.631380,-108.569880,0.000000,top
"U9","74HC597","SO-16-N",138.172380,-132.218880,0.000000,top
"U10","74HC595D,118","SO-16-N",106.680000,-97.790000,0.000000,top
"U11","74HC595D,118","SO-16-N",106.680000,-116.840000,0.000000,top
"U12","74HC595D,118","SO-16-N",106.680000,-135.890000,0.000000,top
"U13","74HC595D,118","SO-16-N",106.680000,-154.940000,0.000000,top
"U14","74HC595D,118","SO-16-N",106.680000,-58.420000,0.000000,top
"U15","74HC595D,118","SO-16-N",106.680000,-78.740000,0.000000,top
"U16","74HC595D,118","SO-16-N",106.680000,-173.990000,0.000000,top
"U17","74HC595D,118","SO-16-N",106.680000,-193.040000,0.000000,top
